transaction_id,transaction_date,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,store_location,payment_method
TXN000068,2025-01-19 14:54:57,C7865,P006,Coffee  Mug,Kitchen,3,14.99,44.97,Raleigh,Debit Card
TXN000069,2025-01-16 08:24:21,C7624,P005,  Ballpoint Pen Pack  ,Office Supplies,4,8.49,33.96,Raleigh,Debit Card
TXN000070,2025-01-13 14:37:36,C1444,P010,backpack,Accessories,5,49.99,249.95,Dallas,Apple Pay
TXN000071,2025-01-14 08:16:24,C6363,P003,Mechanical  Keyboard,Electronics,4,89.99,359.96,Raleigh,Cash
TXN000072,2025-01-15 20:53:26,C5133,P006,coffee mug,Kitchen,4,14.99,59.96,Raleigh,Credit Card
TXN000073,2025-01-13 13:14:41,C2124,P012,RUNNING SHOES,Apparel,5,79.99,399.95,Charleston,Debit Card
TXN000074,2025-01-17 10:15:08,C8758,P004,notebook,Office Supplies,1,6.75,6.75,Orlando,Debit Card
TXN000075,2025-01-19 13:10:38,C2876,P008,  Desk Lamp  ,Home,3,34.5,103.5,Nashville,Credit Card
TXN000076,2025-01-15 17:43:58,C7149,P010,backpack,Accessories,1,49.99,49.99,Dallas,Debit Card
TXN000077,2025-01-18 21:40:15,C2669,P002,uSB-c cABLE,Electronics,5,12.5,62.5,Dallas,Google Pay
TXN000078,2025-01-19 17:50:02,C6688,P013,yoga  mat,Fitness,1,29.99,29.99,Dallas,Cash
TXN000079,2025-01-18 13:00:54,C7882,P002,USB-C Cable,Electronics,5,12.5,62.5,Charleston,Apple Pay
TXN000080,2025-01-18 10:27:11,C9548,P006,cOFFEE mUG,Kitchen,4,14.99,59.96,Orlando,Google Pay
TXN000081,2025-01-16 14:52:46,C5397,P013, YOGA MAT ,Fitness,4,29.99,119.96,Atlanta,Credit Card
TXN000082,2025-01-14 20:29:36,C7209,P005, BALLPOINT PEN PACK ,Office Supplies,4,8.49,33.96,Charleston,Apple Pay
TXN000083,2025-01-14 15:13:22,C5232,P014, PROTEIN BAR ,Food,3,2.49,7.47,Nashville,Google Pay
TXN000084,2025-01-17 08:33:12,C2402,P012,Running  Shoes,Apparel,3,79.99,239.97,Dallas,Apple Pay
TXN000085,2025-01-19 11:44:30,C9041,P008,Desk Lamp,Home,5,34.5,172.5,Charleston,Credit Card
TXN000086,2025-01-16 19:15:19,C7046,P005,Ballpoint Pen Pack,Office Supplies,2,8.49,16.98,Orlando,Google Pay
TXN000087,2025-01-18 16:21:22,C8434,P006,cOFFEE mUG,Kitchen,4,14.99,59.96,Nashville,Cash
TXN000088,2025-01-18 11:20:07,C9779,P004,  Notebook  ,Office Supplies,1,6.75,6.75,Atlanta,Debit Card
TXN000089,2025-01-15 19:37:48,C9595,P012,rUNNING sHOES,Apparel,4,79.99,319.96,Charleston,Debit Card
TXN000090,2025-01-15 10:19:00,C9751,P005,  Ballpoint Pen Pack  ,Office Supplies,2,8.49,16.98,Nashville,Credit Card
TXN000091,2025-01-15 19:08:40,C9042,P001,wireless mouse,Electronics,5,24.99,124.95,Charleston,Google Pay
TXN000092,2025-01-16 15:21:11,C1841,P005,bALLPOINT pEN pACK,Office Supplies,4,8.49,33.96,Raleigh,Credit Card
TXN000093,2025-01-16 15:04:36,C1878,P014,  Protein Bar  ,Food,1,2.49,2.49,Atlanta,Google Pay
TXN000094,2025-01-14 09:35:48,C7818,P005,Ballpoint  Pen  Pack,Office Supplies,1,8.49,8.49,Orlando,Apple Pay
TXN000095,2025-01-15 21:37:27,C6003,P008,DESK LAMP,Home,4,34.5,138.0,Orlando,Credit Card
TXN000096,2025-01-18 11:16:42,C2330,P013,  Yoga Mat  ,Fitness,2,29.99,59.98,Atlanta,Debit Card
TXN000097,2025-01-14 08:26:28,C8699,P009,pHONE cHARGER,Electronics,1,16.99,16.99,Charleston,Debit Card
TXN000098,2025-01-18 21:29:04,C4824,P005,bALLPOINT pEN pACK,Office Supplies,3,8.49,25.47,Dallas,Google Pay
TXN000099,2025-01-16 09:34:14,C3441,P011,t-sHIRT,Apparel,2,18.0,36.0,Atlanta,Credit Card
TXN000100,2025-01-19 12:38:47,C5728,P001,Wireless Mouse,Electronics,2,24.99,49.98,Charleston,Apple Pay
