transaction_id,transaction_date,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,store_location,payment_method
TXN000030,2025-01-09 11:55:25,C1960,P007,  Water Bottle  ,Kitchen,4,19.99,79.96,Raleigh,Credit Card
TXN000031,2025-01-12 20:29:18,C7930,P007,Water Bottle,Kitchen,3,19.99,59.97,Atlanta,Debit Card
TXN000032,2025-01-06 17:47:34,C1998,P005, BALLPOINT PEN PACK ,Office Supplies,2,8.49,16.98,Charleston,Credit Card
TXN000033,2025-01-10 21:33:10,C1931,P010,backpack,Accessories,4,49.99,199.96,Atlanta,Credit Card
TXN000034,2025-01-11 21:15:25,C2964,P010,Backpack,Accessories,1,49.99,49.99,Orlando,Google Pay
TXN000035,2025-01-06 14:42:37,C9565,P001, WIRELESS MOUSE ,Electronics,5,24.99,124.95,Nashville,Debit Card
TXN000036,2025-01-07 12:25:08,C5915,P011,T-Shirt,Apparel,3,18.0,54.0,Nashville,Credit Card
TXN000037,2025-01-10 17:06:04,C9808,P001,Wireless  Mouse,Electronics,4,24.99,99.96,Orlando,Cash
TXN000038,2025-01-06 11:23:18,C3584,P003,Mechanical Keyboard,Electronics,3,89.99,269.97,Orlando,Cash
TXN000039,2025-01-06 18:52:35,C5905,P010,backpack,Accessories,5,49.99,249.95,Atlanta,Cash
TXN000040,2025-01-11 16:09:17,C5616,P002,USB-C  Cable,Electronics,1,12.5,12.5,Dallas,Cash
TXN000041,2025-01-10 15:16:57,C1832,P004,notebook,Office Supplies,3,6.75,20.25,Dallas,Apple Pay
TXN000042,2025-01-06 08:21:49,C3143,P014,pROTEIN bAR,Food,3,2.49,7.47,Atlanta,Apple Pay
TXN000043,2025-01-10 08:07:04,C3442,P009,PHONE CHARGER,Electronics,4,16.99,67.96,Nashville,Google Pay
TXN000044,2025-01-09 10:02:19,C6974,P009,PHONE CHARGER,Electronics,2,16.99,33.98,Nashville,Debit Card
TXN000045,2025-01-11 09:22:49,C7658,P011,  T-Shirt  ,Apparel,2,18.0,36.0,Atlanta,Debit Card
TXN000046,2025-01-09 08:11:47,C6442,P013,yoga  mat,Fitness,2,29.99,59.98,Dallas,Debit Card
TXN000047,2025-01-12 19:06:24,C1634,P005,Ballpoint Pen Pack,Office Supplies,2,8.49,16.98,Atlanta,Debit Card
TXN000048,2025-01-08 12:52:50,C4728,P014,Protein  Bar,Food,4,2.49,9.96,Charleston,Debit Card
TXN000049,2025-01-08 21:04:49,C5573,P007, WATER BOTTLE ,Kitchen,3,19.99,59.97,Dallas,Google Pay
TXN000050,2025-01-08 08:07:56,C5279,P007,  Water Bottle  ,Kitchen,5,19.99,99.95,Orlando,Cash
